FACILITYKE,BuildingNu,SHORTNAME,LONGNAME,Link,scanned_dr,page_name,site_plan_,latitude,longitude
378,378,,Communication Trailer,https://drive.google.com/open?id=1RMG_0vX0v3DF5d30739Ez8XXQmd3-KfM,https://drawings.facilities.ucsb.edu/results.php?locnum=378,378-Communication Trailer,https://drive.google.com/open?id=1EwkecVEZ2MXDOSTwLhcEd90Q0Ueg3V0e,34.422477,-119.852837
379,379,,Communication Trailer 2,https://drive.google.com/open?id=1ROZ_K2r5ysVU5J16mtVRYuqfaXRCzwdU,https://drawings.facilities.ucsb.edu/results.php?locnum=379,379-Communication Trailer 2,https://drive.google.com/open?id=1EnS_QWIZxLf8aCMAMd1D2aKaS1YRcY3t,34.422532,-119.853339
380,380,,Engineering Trailer 380,https://drive.google.com/open?id=1ROleVFPEJGWoJNptjtcOmg5MLWETOLHQ,https://drawings.facilities.ucsb.edu/results.php?locnum=380,380-Engineering Trailer 380,https://drive.google.com/open?id=1Ezz0sf_YzmPj8tAfG4ja1FAQx7PWYIki,34.413729,-119.84285
381,381,,Parking Services,https://drive.google.com/open?id=1RblGrsPGRetK45N2p__vCdk0_N8TcAZh,https://drawings.facilities.ucsb.edu/results.php?locnum=381,381-Parking Services,https://drive.google.com/open?id=1F-Gr7k3MYGiVsKXEwB8JMvDaigDCpVNC,34.419657,-119.852918
384,384,,Engineering Trailer 384,https://drive.google.com/open?id=1Rc1j7PMC8PYIDQJ6O4sZo9H3w3uoBgTo,https://drawings.facilities.ucsb.edu/results.php?locnum=384,384-Engineering Trailer 384,https://drive.google.com/open?id=1F15Td8ORmux-JceXp7ngkFL-BgjxlFq0,34.413713,-119.842518
387,387,,Modular Classroom 387,https://drive.google.com/open?id=1Rl7Z_sUfm5OMwBWmp05_vfD3dHobfRLX,https://drawings.facilities.ucsb.edu/results.php?locnum=387,387-Modular Classroom 387,https://drive.google.com/open?id=1F9lTW62UWdnS6EryE0n6TFuy4emuTuLn,34.411973,-119.845671
388,388,,Parking Services 2,https://drive.google.com/open?id=1RltqiNkhOR-DSmIJotuZMrtYAELaHeyj,https://drawings.facilities.ucsb.edu/results.php?locnum=388,388-Parking Services 2,https://drive.google.com/open?id=1F7--EIEy3vKiuwam-IKUBpzSgZdo8v_U,34.419695,-119.852692
402,402,,Building 402,https://drive.google.com/open?id=1Rn_AnbCHUDrKSh2TPN6aRd38ktS-DhcG,https://drawings.facilities.ucsb.edu/results.php?locnum=402,402-Building 402,https://drive.google.com/open?id=1F2kx4Ief3yQ-Pc1XnL7CtB3Pw7zHB8bK,34.416805,-119.844762
406,406,,Chicano Students Center,https://drive.google.com/open?id=1Rr7C0zVugA2dE9t2kwgrqCzcATUhM-ex,https://drawings.facilities.ucsb.edu/results.php?locnum=406,406-Chicano Students Center,https://drive.google.com/open?id=1FF2o9Xp5AT7_LzIRGpi93OA8xqAbR3U_,34.414239,-119.844448
408,408,,Building 408,https://drive.google.com/open?id=1RuwJ0fG84nzc0DBEz9QTxbJ-kHm9U4uG,https://drawings.facilities.ucsb.edu/results.php?locnum=408,408-Building 408,https://drive.google.com/open?id=1FHgqGCWzOC459R8Tp9-pJyAstX_a4Kaj,34.412668,-119.844645
